Week,GameDate,Status,Conference,Team,Opponent,OppStatus,OppConference,Wins,Losses,OppWins,OppLosses
12,11/15/2014,P5,ACC,Florida State,Miami (FL),P5,ACC,14,0,9,4
13,11/18/2014,G5,Mid-American,Massachusetts,Akron,G5,Mid-American,1,11,5,7
13,11/18/2014,G5,Mid-American,Akron,Massachusetts,G5,Mid-American,5,7,1,11
13,11/18/2014,G5,Mid-American,Ohio,Northern Illinois,G5,Mid-American,7,6,12,2
13,11/18/2014,G5,Mid-American,Northern Illinois,Ohio,G5,Mid-American,12,2,7,6
13,11/19/2014,G5,Mid-American,Kent State,Buffalo,G5,Mid-American,4,8,8,5
13,11/19/2014,G5,Mid-American,Toledo,Bowling Green,G5,Mid-American,7,5,10,4
13,11/19/2014,G5,Mid-American,Buffalo,Kent State,G5,Mid-American,8,5,4,8
13,11/19/2014,G5,Mid-American,Bowling Green,Toledo,G5,Mid-American,10,4,7,5
13,11/20/2014,P5,Big 12,West Virginia,Kansas State,P5,Big 12,4,8,8,5
13,11/20/2014,G5,Sun Belt,Texas State,Arkansas State,G5,Sun Belt,6,6,8,5
13,11/20/2014,P5,ACC,North Carolina,Duke,P5,ACC,7,6,10,4
13,11/20/2014,G5,Sun Belt,Arkansas State,Texas State,G5,Sun Belt,8,5,6,6
13,11/20/2014,P5,Big 12,Kansas State,West Virginia,P5,Big 12,8,5,4,8
13,11/20/2014,P5,ACC,Duke,North Carolina,P5,ACC,10,4,7,6
13,11/21/2014,G5,Mountain West,Air Force,San Diego State,G5,Mountain West,2,10,8,5
13,11/21/2014,G5,CUSA,UTEP,Rice,G5,CUSA,2,10,10,4
13,11/21/2014,G5,Mountain West,San Jose State,Utah State,G5,Mountain West,6,6,9,5
13,11/21/2014,G5,Mountain West,San Diego State,Air Force,G5,Mountain West,8,5,2,10
13,11/21/2014,G5,Mountain West,Utah State,San Jose State,G5,Mountain West,9,5,6,6
13,11/21/2014,G5,CUSA,Rice,UTEP,G5,CUSA,10,4,2,10
13,11/22/2014,G5,Sun Belt,Georgia State,Clemson,P5,ACC,0,12,11,2
13,11/22/2014,G5,CUSA,Florida International,North Texas,G5,CUSA,1,11,9,4
13,11/22/2014,G5,Mountain West,Hawaii,UNLV,G5,Mountain West,1,11,7,6
13,11/22/2014,G5,Mid-American,Western Michigan,Central Michigan,G5,Mid-American,1,11,6,6
13,11/22/2014,P5,PAC,California,Stanford,P5,PAC,1,11,11,3
13,11/22/2014,P5,Big Ten,Purdue,Northwestern,P5,Big Ten,1,11,5,7
13,11/22/2014,G5,Mid-American,Eastern Michigan,Ball State,G5,Mid-American,2,10,10,3
13,11/22/2014,G5,Sun Belt,New Mexico State,Louisiana-Monroe,G5,Sun Belt,2,10,6,6
13,11/22/2014,G5,AAC,South Florida,Memphis,G5,AAC,2,10,3,9
13,11/22/2014,G5,CUSA,UAB,Marshall,G5,CUSA,2,10,10,4
13,11/22/2014,P5,ACC,Virginia,Miami (FL),P5,ACC,2,10,9,4
13,11/22/2014,G5,Ind.,Army,Fordham,FCS,FCS,3,9,,
13,11/22/2014,G5,AAC,Connecticut,Cincinnati,G5,AAC,3,9,9,4
13,11/22/2014,G5,AAC,Memphis,South Florida,G5,AAC,3,9,2,10
13,11/22/2014,G5,Mountain West,New Mexico,Colorado State,G5,Mountain West,3,9,8,6
13,11/22/2014,G5,AAC,Tulsa,Houston,G5,AAC,3,9,8,5
13,11/22/2014,P5,SEC,Arkansas,Ole Miss,P5,SEC,3,9,8,5
13,11/22/2014,P5,Big 12,Iowa State,Texas Tech,P5,Big 12,3,9,8,5
13,11/22/2014,P5,Big 12,Kansas,Oklahoma,P5,Big 12,3,9,11,2
13,11/22/2014,G5,Sun Belt,Appalachian State,Louisiana-Lafayette,G5,Sun Belt,4,8,9,4
13,11/22/2014,G5,CUSA,Louisiana Tech,Old Dominion,G5,CUSA,4,8,8,4
13,11/22/2014,G5,Mountain West,Nevada,Fresno State,G5,Mountain West,4,8,11,2
13,11/22/2014,P5,PAC,Colorado,Oregon,P5,PAC,4,8,11,2
13,11/22/2014,P5,SEC,Florida,Eastern Kentucky,FCS,FCS,4,8,,
13,11/22/2014,P5,Big Ten,Illinois,Penn State,P5,Big Ten,4,8,7,5
13,11/22/2014,P5,ACC,Wake Forest,Virginia Tech,P5,ACC,4,8,8,5
13,11/22/2014,G5,AAC,SMU,UCF,G5,AAC,5,7,12,1
13,11/22/2014,G5,Mountain West,Wyoming,Boise State,G5,Mountain West,5,7,8,5
13,11/22/2014,P5,Big Ten,Indiana,Ohio State,P5,Big Ten,5,7,12,2
13,11/22/2014,P5,Big Ten,Northwestern,Purdue,P5,Big Ten,5,7,1,11
13,11/22/2014,P5,SEC,Tennessee,Missouri,P5,SEC,5,7,12,2
13,11/22/2014,P5,PAC,Utah,Arizona,P5,PAC,5,7,8,5
13,11/22/2014,G5,Mid-American,Central Michigan,Western Michigan,G5,Mid-American,6,6,1,11
13,11/22/2014,G5,CUSA,Florida Atlantic,MTSU,G5,CUSA,6,6,8,5
13,11/22/2014,G5,Sun Belt,Louisiana-Monroe,New Mexico State,G5,Sun Belt,6,6,2,10
13,11/22/2014,G5,Sun Belt,South Alabama,South Carolina,P5,SEC,6,6,11,2
13,11/22/2014,P5,Big Ten,Rutgers,Michigan State,P5,Big Ten,6,7,13,1
13,11/22/2014,P5,PAC,Washington State,Arizona State,P5,PAC,6,7,10,4
13,11/22/2014,G5,AAC,Tulane,East Carolina,G5,AAC,7,6,10,3
13,11/22/2014,G5,Mountain West,UNLV,Hawaii,G5,Mountain West,7,6,1,11
13,11/22/2014,G5,CUSA,UTSA,Western Kentucky,G5,CUSA,7,5,8,4
13,11/22/2014,P5,ACC,Boston College,Florida State,P5,ACC,7,6,14,0
13,11/22/2014,P5,Big Ten,Maryland,Michigan,P5,Big Ten,7,6,7,6
13,11/22/2014,P5,Big Ten,Michigan,Maryland,P5,Big Ten,7,6,7,6
13,11/22/2014,P5,SEC,Mississippi State,Vanderbilt,P5,SEC,7,6,9,4
13,11/22/2014,P5,PAC,Oregon State,Washington,P5,PAC,7,6,9,4
13,11/22/2014,P5,Big Ten,Penn State,Illinois,P5,Big Ten,7,5,4,8
13,11/22/2014,P5,ACC,Pittsburgh,Syracuse,P5,ACC,7,6,7,6
13,11/22/2014,P5,ACC,Syracuse,Pittsburgh,P5,ACC,7,6,7,6
13,11/22/2014,G5,Mountain West,Boise State,Wyoming,G5,Mountain West,8,5,5,7
13,11/22/2014,G5,Ind.,BYU,Savannah State,FCS,FCS,8,5,,
13,11/22/2014,G5,Mountain West,Colorado State,New Mexico,G5,Mountain West,8,6,3,9
13,11/22/2014,G5,AAC,Houston,Tulsa,G5,AAC,8,5,3,9
13,11/22/2014,G5,CUSA,MTSU,Florida Atlantic,G5,CUSA,8,5,6,6
13,11/22/2014,G5,CUSA,Old Dominion,Louisiana Tech,G5,CUSA,8,4,4,8
13,11/22/2014,G5,CUSA,Western Kentucky,UTSA,G5,CUSA,8,4,7,5
13,11/22/2014,P5,PAC,Arizona,Utah,P5,PAC,8,5,5,7
13,11/22/2014,P5,SEC,Georgia,Charleston Southern,FCS,FCS,8,5,,
13,11/22/2014,P5,Big Ten,Iowa,Wisconsin,P5,Big Ten,8,5,9,4
13,11/22/2014,P5,Big Ten,Minnesota,Nebraska,P5,Big Ten,8,5,9,4
13,11/22/2014,P5,SEC,Ole Miss,Arkansas,P5,SEC,8,5,3,9
13,11/22/2014,P5,Big 12,Texas Tech,Iowa State,P5,Big 12,8,5,3,9
13,11/22/2014,P5,ACC,Virginia Tech,Wake Forest,P5,ACC,8,5,4,8
13,11/22/2014,G5,AAC,Cincinnati,Connecticut,G5,AAC,9,4,3,9
13,11/22/2014,G5,Sun Belt,Louisiana-Lafayette,Appalachian State,G5,Sun Belt,9,4,4,8
13,11/22/2014,G5,CUSA,North Texas,Florida International,G5,CUSA,9,4,1,11
13,11/22/2014,P5,ACC,Miami (FL),Virginia,P5,ACC,9,4,2,10
13,11/22/2014,P5,Big Ten,Nebraska,Minnesota,P5,Big Ten,9,4,8,5
13,11/22/2014,P5,ND,Notre Dame,Louisville,P5,ACC,9,4,12,1
13,11/22/2014,P5,SEC,Vanderbilt,Mississippi State,P5,SEC,9,4,7,6
13,11/22/2014,P5,PAC,Washington,Oregon State,P5,PAC,9,4,7,6
13,11/22/2014,P5,Big Ten,Wisconsin,Iowa,P5,Big Ten,9,4,8,5
13,11/22/2014,G5,Mid-American,Ball State,Eastern Michigan,G5,Mid-American,10,3,2,10
13,11/22/2014,G5,AAC,East Carolina,Tulane,G5,AAC,10,3,7,6
13,11/22/2014,G5,CUSA,Marshall,UAB,G5,CUSA,10,4,2,10
13,11/22/2014,P5,PAC,Arizona State,Washington State,P5,PAC,10,4,6,7
13,11/22/2014,P5,Big 12,Oklahoma State,Baylor,P5,Big 12,10,3,11,2
13,11/22/2014,P5,PAC,UCLA,USC,P5,PAC,10,3,10,4
13,11/22/2014,P5,PAC,USC,UCLA,P5,PAC,10,4,10,3
13,11/22/2014,G5,Mountain West,Fresno State,Nevada,G5,Mountain West,11,2,4,8
13,11/22/2014,P5,SEC,Alabama,Western Carolina,FCS,FCS,11,2,,
13,11/22/2014,P5,Big 12,Baylor,Oklahoma State,P5,Big 12,11,2,10,3
13,11/22/2014,P5,ACC,Clemson,Georgia State,G5,Sun Belt,11,2,0,12
13,11/22/2014,P5,Big 12,Oklahoma,Kansas,P5,Big 12,11,2,3,9
13,11/22/2014,P5,PAC,Oregon,Colorado,P5,PAC,11,2,4,8
13,11/22/2014,P5,SEC,South Carolina,South Alabama,G5,Sun Belt,11,2,6,6
13,11/22/2014,P5,PAC,Stanford,California,P5,PAC,11,3,1,11
13,11/22/2014,G5,AAC,UCF,SMU,G5,AAC,12,1,5,7
13,11/22/2014,P5,SEC,Auburn,Samford,FCS,FCS,12,2,,
13,11/22/2014,P5,ACC,Louisville,Notre Dame,P5,ND,12,1,9,4
13,11/22/2014,P5,SEC,Missouri,Tennessee,P5,SEC,12,2,5,7
13,11/22/2014,P5,Big Ten,Ohio State,Indiana,P5,Big Ten,12,2,5,7
13,11/22/2014,P5,Big Ten,Michigan State,Rutgers,P5,Big Ten,13,1,6,7
13,11/22/2014,P5,ACC,Florida State,Boston College,P5,ACC,14,0,7,6
14,11/25/2014,G5,Mid-American,Miami (OH),Ohio,G5,Mid-American,0,12,7,6
14,11/25/2014,G5,Mid-American,Kent State,Akron,G5,Mid-American,4,8,5,7
14,11/25/2014,G5,Mid-American,Akron,Kent State,G5,Mid-American,5,7,4,8
14,11/25/2014,G5,Mid-American,Ohio,Miami (OH),G5,Mid-American,7,6,0,12
14,11/27/2014,P5,Big 12,TCU,Texas,P5,Big 12,4,8,8,5
14,11/27/2014,P5,Big 12,Texas,TCU,P5,Big 12,8,5,4,8
14,11/27/2014,P5,SEC,Texas A&M,LSU,P5,SEC,9,4,10,3
14,11/27/2014,P5,SEC,LSU,Texas A&M,P5,SEC,10,3,9,4
14,11/28/2014,G5,Mid-American,Massachusetts,Buffalo,G5,Mid-American,1,11,8,5
14,11/28/2014,G5,Mid-American,Western Michigan,Northern Illinois,G5,Mid-American,1,11,12,2
14,11/28/2014,G5,Mountain West,Air Force,Colorado State,G5,Mountain West,2,10,8,6
14,11/28/2014,G5,Mid-American,Eastern Michigan,Toledo,G5,Mid-American,2,10,7,5
14,11/28/2014,G5,AAC,South Florida,UCF,G5,AAC,2,10,12,1
14,11/28/2014,P5,ACC,Virginia,Virginia Tech,P5,ACC,2,10,8,5
14,11/28/2014,G5,AAC,Tulsa,East Carolina,G5,AAC,3,9,10,3
14,11/28/2014,G5,AAC,SMU,Houston,G5,AAC,5,7,8,5
14,11/28/2014,G5,Sun Belt,South Alabama,Navy,G5,Ind.,6,6,9,4
14,11/28/2014,G5,Mid-American,Toledo,Eastern Michigan,G5,Mid-American,7,5,2,10
14,11/28/2014,G5,Mid-American,Buffalo,Massachusetts,G5,Mid-American,8,5,1,11
14,11/28/2014,G5,Mountain West,Colorado State,Air Force,G5,Mountain West,8,6,2,10
14,11/28/2014,G5,AAC,Houston,SMU,G5,AAC,8,5,5,7
14,11/28/2014,G5,CUSA,Western Kentucky,Marshall,G5,CUSA,8,4,10,4
14,11/28/2014,P5,PAC,Arizona,Arizona State,P5,PAC,8,5,10,4
14,11/28/2014,P5,Big Ten,Iowa,Nebraska,P5,Big Ten,8,5,9,4
14,11/28/2014,P5,ACC,Virginia Tech,Virginia,P5,ACC,8,5,2,10
14,11/28/2014,G5,Ind.,Navy,South Alabama,G5,Sun Belt,9,4,6,6
14,11/28/2014,P5,Big Ten,Nebraska,Iowa,P5,Big Ten,9,4,8,5
14,11/28/2014,G5,Mid-American,Ball State,Bowling Green,G5,Mid-American,10,3,10,4
14,11/28/2014,G5,Mid-American,Bowling Green,Ball State,G5,Mid-American,10,4,10,3
14,11/28/2014,G5,AAC,East Carolina,Tulsa,G5,AAC,10,3,3,9
14,11/28/2014,G5,CUSA,Marshall,Western Kentucky,G5,CUSA,10,4,8,4
14,11/28/2014,P5,PAC,Arizona State,Arizona,P5,PAC,10,4,8,5
14,11/28/2014,P5,PAC,UCLA,Stanford,P5,PAC,10,3,11,3
14,11/28/2014,P5,PAC,Stanford,UCLA,P5,PAC,11,3,10,3
14,11/28/2014,G5,Mid-American,Northern Illinois,Western Michigan,G5,Mid-American,12,2,1,11
14,11/28/2014,G5,AAC,UCF,South Florida,G5,AAC,12,1,2,10
14,11/29/2014,G5,Sun Belt,Georgia State,Texas State,G5,Sun Belt,0,12,6,6
14,11/29/2014,G5,Mountain West,Hawaii,Fresno State,G5,Mountain West,1,11,11,2
14,11/29/2014,G5,Sun Belt,Idaho,Appalachian State,G5,Sun Belt,1,11,4,8
14,11/29/2014,G5,CUSA,Southern Miss,UAB,G5,CUSA,1,11,2,10
14,11/29/2014,P5,PAC,California,BYU,G5,Ind.,1,11,8,5
14,11/29/2014,P5,Big Ten,Purdue,Indiana,P5,Big Ten,1,11,5,7
14,11/29/2014,G5,Sun Belt,New Mexico State,Arkansas State,G5,Sun Belt,2,10,8,5
14,11/29/2014,G5,AAC,Temple,Cincinnati,G5,AAC,2,10,9,4
14,11/29/2014,G5,CUSA,UAB,Southern Miss,G5,CUSA,2,10,1,11
14,11/29/2014,G5,CUSA,UTEP,MTSU,G5,CUSA,2,10,8,5
14,11/29/2014,P5,SEC,Kentucky,Louisville,P5,ACC,2,10,12,1
14,11/29/2014,G5,AAC,Connecticut,Memphis,G5,AAC,3,9,3,9
14,11/29/2014,G5,AAC,Memphis,Connecticut,G5,AAC,3,9,3,9
14,11/29/2014,G5,Mountain West,New Mexico,Wyoming,G5,Mountain West,3,9,5,7
14,11/29/2014,P5,SEC,Arkansas,Missouri,P5,SEC,3,9,12,2
14,11/29/2014,P5,Big 12,Iowa State,West Virginia,P5,Big 12,3,9,4,8
14,11/29/2014,P5,Big 12,Kansas,Kansas State,P5,Big 12,3,9,8,5
14,11/29/2014,P5,ACC,North Carolina State,North Carolina,P5,ACC,3,9,7,6
14,11/29/2014,G5,Sun Belt,Appalachian State,Idaho,G5,Sun Belt,4,8,1,11
14,11/29/2014,G5,CUSA,Louisiana Tech,Rice,G5,CUSA,4,8,10,4
14,11/29/2014,G5,Mountain West,Nevada,UNLV,G5,Mountain West,4,8,7,6
14,11/29/2014,P5,PAC,Colorado,Utah,P5,PAC,4,8,5,7
14,11/29/2014,P5,SEC,Florida,Florida State,P5,ACC,4,8,14,0
14,11/29/2014,P5,Big Ten,Illinois,Northwestern,P5,Big Ten,4,8,5,7
14,11/29/2014,P5,ACC,Wake Forest,Duke,P5,ACC,4,8,10,4
14,11/29/2014,P5,Big 12,West Virginia,Iowa State,P5,Big 12,4,8,3,9
14,11/29/2014,G5,Mountain West,Wyoming,New Mexico,G5,Mountain West,5,7,3,9
14,11/29/2014,P5,Big Ten,Indiana,Purdue,P5,Big Ten,5,7,1,11
14,11/29/2014,P5,Big Ten,Northwestern,Illinois,P5,Big Ten,5,7,4,8
14,11/29/2014,P5,SEC,Tennessee,Vanderbilt,P5,SEC,5,7,9,4
14,11/29/2014,P5,PAC,Utah,Colorado,P5,PAC,5,7,4,8
14,11/29/2014,G5,CUSA,Florida Atlantic,Old Dominion,G5,CUSA,6,6,8,4
14,11/29/2014,G5,Sun Belt,Louisiana-Monroe,Georgia Southern,G5,Sun Belt,6,6,7,4
14,11/29/2014,G5,Mountain West,San Jose State,San Diego State,G5,Mountain West,6,6,8,5
14,11/29/2014,G5,Sun Belt,Texas State,Georgia State,G5,Sun Belt,6,6,0,12
14,11/29/2014,G5,Sun Belt,Troy,Louisiana-Lafayette,G5,Sun Belt,6,6,9,4
14,11/29/2014,P5,Big Ten,Rutgers,Maryland,P5,Big Ten,6,7,7,6
14,11/29/2014,P5,PAC,Washington State,Washington,P5,PAC,6,7,9,4
14,11/29/2014,G5,Sun Belt,Georgia Southern,Louisiana-Monroe,G5,Sun Belt,7,4,6,6
14,11/29/2014,G5,Mountain West,UNLV,Nevada,G5,Mountain West,7,6,4,8
14,11/29/2014,G5,CUSA,UTSA,North Texas,G5,CUSA,7,5,9,4
14,11/29/2014,P5,ACC,Boston College,Syracuse,P5,ACC,7,6,7,6
14,11/29/2014,P5,ACC,Georgia Tech,Georgia,P5,SEC,7,6,8,5
14,11/29/2014,P5,Big Ten,Maryland,Rutgers,P5,Big Ten,7,6,6,7
14,11/29/2014,P5,Big Ten,Michigan,Ohio State,P5,Big Ten,7,6,12,2
14,11/29/2014,P5,SEC,Mississippi State,Ole Miss,P5,SEC,7,6,8,5
14,11/29/2014,P5,ACC,North Carolina,North Carolina State,P5,ACC,7,6,3,9
14,11/29/2014,P5,PAC,Oregon State,Oregon,P5,PAC,7,6,11,2
14,11/29/2014,P5,Big Ten,Penn State,Michigan State,P5,Big Ten,7,5,13,1
14,11/29/2014,P5,ACC,Pittsburgh,Miami (FL),P5,ACC,7,6,9,4
14,11/29/2014,P5,ACC,Syracuse,Boston College,P5,ACC,7,6,7,6
14,11/29/2014,G5,Sun Belt,Arkansas State,New Mexico State,G5,Sun Belt,8,5,2,10
14,11/29/2014,G5,Mountain West,Boise State,Utah State,G5,Mountain West,8,5,9,5
14,11/29/2014,G5,Ind.,BYU,California,P5,PAC,8,5,1,11
14,11/29/2014,G5,CUSA,MTSU,UTEP,G5,CUSA,8,5,2,10
14,11/29/2014,G5,CUSA,Old Dominion,Florida Atlantic,G5,CUSA,8,4,6,6
14,11/29/2014,G5,Mountain West,San Diego State,San Jose State,G5,Mountain West,8,5,6,6
14,11/29/2014,P5,SEC,Georgia,Georgia Tech,P5,ACC,8,5,7,6
14,11/29/2014,P5,Big 12,Kansas State,Kansas,P5,Big 12,8,5,3,9
14,11/29/2014,P5,Big Ten,Minnesota,Wisconsin,P5,Big Ten,8,5,9,4
14,11/29/2014,P5,SEC,Ole Miss,Mississippi State,P5,SEC,8,5,7,6
14,11/29/2014,P5,Big 12,Texas Tech,Baylor,P5,Big 12,8,5,11,2
14,11/29/2014,G5,AAC,Cincinnati,Temple,G5,AAC,9,4,2,10
14,11/29/2014,G5,Sun Belt,Louisiana-Lafayette,Troy,G5,Sun Belt,9,4,6,6
14,11/29/2014,G5,CUSA,North Texas,UTSA,G5,CUSA,9,4,7,5
14,11/29/2014,G5,Mountain West,Utah State,Boise State,G5,Mountain West,9,5,8,5
14,11/29/2014,P5,ACC,Miami (FL),Pittsburgh,P5,ACC,9,4,7,6
14,11/29/2014,P5,ND,Notre Dame,USC,P5,PAC,9,4,10,4
14,11/29/2014,P5,SEC,Vanderbilt,Tennessee,P5,SEC,9,4,5,7
14,11/29/2014,P5,PAC,Washington,Washington State,P5,PAC,9,4,6,7
14,11/29/2014,P5,Big Ten,Wisconsin,Minnesota,P5,Big Ten,9,4,8,5
14,11/29/2014,G5,CUSA,Rice,Louisiana Tech,G5,CUSA,10,4,4,8
14,11/29/2014,P5,ACC,Duke,Wake Forest,P5,ACC,10,4,4,8
14,11/29/2014,P5,PAC,USC,Notre Dame,P5,ND,10,4,9,4
14,11/29/2014,G5,Mountain West,Fresno State,Hawaii,G5,Mountain West,11,2,1,11
14,11/29/2014,P5,SEC,Alabama,Auburn,P5,SEC,11,2,12,2
14,11/29/2014,P5,Big 12,Baylor,Texas Tech,P5,Big 12,11,2,8,5
14,11/29/2014,P5,ACC,Clemson,South Carolina,P5,SEC,11,2,11,2
14,11/29/2014,P5,PAC,Oregon,Oregon State,P5,PAC,11,2,7,6
14,11/29/2014,P5,SEC,South Carolina,Clemson,P5,ACC,11,2,11,2
14,11/29/2014,P5,SEC,Auburn,Alabama,P5,SEC,12,2,11,2
14,11/29/2014,P5,ACC,Louisville,Kentucky,P5,SEC,12,1,2,10
14,11/29/2014,P5,SEC,Missouri,Arkansas,P5,SEC,12,2,3,9
14,11/29/2014,P5,Big Ten,Ohio State,Michigan,P5,Big Ten,12,2,7,6
14,11/29/2014,P5,Big Ten,Michigan State,Penn State,P5,Big Ten,13,1,7,5
14,11/29/2014,P5,ACC,Florida State,Florida,P5,SEC,14,0,4,8
15,12/4/2014,G5,AAC,East Carolina,UCF,G5,AAC,10,3,12,1
15,12/4/2014,G5,AAC,UCF,East Carolina,G5,AAC,12,1,10,3
15,12/6/2014,G5,AAC,Temple,Tulane,G5,AAC,2,10,7,6
15,12/6/2014,G5,AAC,Connecticut,SMU,G5,AAC,3,9,5,7
15,12/6/2014,P5,Big 12,Iowa State,TCU,P5,Big 12,3,9,4,8
15,12/6/2014,P5,Big 12,TCU,Iowa State,P5,Big 12,4,8,3,9
15,12/6/2014,G5,AAC,SMU,Connecticut,G5,AAC,5,7,3,9
15,12/6/2014,G5,AAC,Tulane,Temple,G5,AAC,7,6,2,10
15,12/6/2014,G5,AAC,Houston,Cincinnati,G5,AAC,8,5,9,4
15,12/6/2014,P5,Big 12,Kansas State,Baylor,P5,Big 12,8,5,11,2
15,12/6/2014,G5,AAC,Cincinnati,Houston,G5,AAC,9,4,8,5
15,12/6/2014,P5,Big 12,Oklahoma State,Oklahoma,P5,Big 12,10,3,11,2
15,12/6/2014,P5,Big 12,Baylor,Kansas State,P5,Big 12,11,2,8,5
15,12/6/2014,P5,Big 12,Oklahoma,Oklahoma State,P5,Big 12,11,2,10,3
16,12/13/2014,G5,Ind.,Army,Navy,G5,Ind.,3,9,9,4
16,12/13/2014,G5,Ind.,Navy,Army,G5,Ind.,9,4,3,9
